Rank,Loss Type,LR,BS,HS,LS,Final Train Loss,Mean Val Loss,Best Val Loss,Epochs
361,mse,0.0010,32,128,64,0.956908,0.957292,0.957292,8
362,mse,0.0010,64,32,64,0.956908,0.957292,0.957292,8
363,mse,0.0010,64,64,64,0.956908,0.957292,0.957292,8
364,mse,0.0010,64,128,64,0.956908,0.957292,0.957292,8
365,mse,0.0003,32,32,16,0.956830,0.957860,0.957860,8
366,mse,0.0003,32,64,16,0.956830,0.957860,0.957860,8
367,mse,0.0003,32,128,16,0.956830,0.957860,0.957860,8
368,mse,0.0003,64,32,16,0.956830,0.957860,0.957860,8
369,mse,0.0003,64,64,16,0.956830,0.957860,0.957860,8
370,mse,0.0003,64,128,16,0.956830,0.957860,0.957860,8
371,mse,0.0003,32,32,16,0.956830,0.957860,0.957860,8
372,mse,0.0003,32,64,16,0.956830,0.957860,0.957860,8
373,mse,0.0003,32,128,16,0.956830,0.957860,0.957860,8
374,mse,0.0003,64,32,16,0.956830,0.957860,0.957860,8
375,mse,0.0003,64,64,16,0.956830,0.957860,0.957860,8
376,mse,0.0003,64,128,16,0.956830,0.957860,0.957860,8
377,mse,0.0005,32,32,64,0.956406,0.959598,0.959598,8
378,mse,0.0005,32,64,64,0.956406,0.959598,0.959598,8
379,mse,0.0005,32,128,64,0.956406,0.959598,0.959598,8
380,mse,0.0005,64,32,64,0.956406,0.959598,0.959598,8
381,mse,0.0005,64,64,64,0.956406,0.959598,0.959598,8
382,mse,0.0005,64,128,64,0.956406,0.959598,0.959598,8
383,mse,0.0005,32,32,64,0.956406,0.959598,0.959598,8
384,mse,0.0005,32,64,64,0.956406,0.959598,0.959598,8
385,mse,0.0005,32,128,64,0.956406,0.959598,0.959598,8
386,mse,0.0005,64,32,64,0.956406,0.959598,0.959598,8
387,mse,0.0005,64,64,64,0.956406,0.959598,0.959598,8
388,mse,0.0005,64,128,64,0.956406,0.959598,0.959598,8
389,mse,0.0003,32,32,64,0.957470,0.962261,0.962261,8
390,mse,0.0003,32,64,64,0.957470,0.962261,0.962261,8
391,mse,0.0003,32,128,64,0.957470,0.962261,0.962261,8
392,mse,0.0003,64,32,64,0.957470,0.962261,0.962261,8
393,mse,0.0003,64,64,64,0.957470,0.962261,0.962261,8
394,mse,0.0003,64,128,64,0.957470,0.962261,0.962261,8
395,mse,0.0003,32,32,64,0.957470,0.962261,0.962261,8
396,mse,0.0003,32,64,64,0.957470,0.962261,0.962261,8
397,mse,0.0003,32,128,64,0.957470,0.962261,0.962261,8
398,mse,0.0003,64,32,64,0.957470,0.962261,0.962261,8
399,mse,0.0003,64,64,64,0.957470,0.962261,0.962261,8
400,mse,0.0003,64,128,64,0.957470,0.962261,0.962261,8
401,mse,0.0003,8,32,16,1.000280,0.996440,0.996440,8
402,mse,0.0003,8,64,16,1.000280,0.996440,0.996440,8
403,mse,0.0003,8,128,16,1.000280,0.996440,0.996440,8
404,mse,0.0003,8,32,16,1.000280,0.996440,0.996440,8
405,mse,0.0003,8,64,16,1.000280,0.996440,0.996440,8
406,mse,0.0003,8,128,16,1.000280,0.996440,0.996440,8
407,mse,0.0005,8,32,32,0.998492,0.996443,0.996443,8
408,mse,0.0005,8,64,32,0.998492,0.996443,0.996443,8
409,mse,0.0005,8,128,32,0.998492,0.996443,0.996443,8
