model,encoding,architecture,v_th,alpha,run_id,seed,cv_fold,split,speaker_id,recording_id,window_id,source_window_index,mse,mae
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1160,16056,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1160,16057,1,0.14033239,0.20144649
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1160,16058,2,0.25366932,0.31435266
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1161,16068,0,0.00094719,0.00540560
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1161,16069,1,0.15383606,0.21617216
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1161,16070,2,0.17827253,0.24080238
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1162,16081,0,0.00034294,0.00582083
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1162,16082,1,0.39011177,0.42742494
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1162,16083,2,0.32503369,0.38658968
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1163,16089,0,0.00130102,0.00785009
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1163,16090,1,0.23036295,0.29066876
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1163,16091,2,0.28951475,0.35031751
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1164,16098,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1164,16099,1,0.09354064,0.15715274
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1164,16100,2,0.15580961,0.21865436
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1165,16111,0,0.00994441,0.03498559
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1165,16112,1,0.20871086,0.27074966
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1165,16113,2,0.25012836,0.31161955
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1166,16120,0,0.00123321,0.01006971
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1166,16121,1,0.40411001,0.45733643
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1166,16122,2,0.25659651,0.31861398
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,1167,16131,0,0.00030517,0.00554281
